University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Manitoba,959.00,936.00,MB,Winnipeg,Physics,Physics & Astronomy,PhD,6459.88,1673.37,8133.25,6459.88,3049.37,9509.25,,Yes,,24000,15866.75,24000,14490.75,0.00,,28/03/2024,2023/2024,0.00,0.50,1.00,1.00,22714.00,Winnipeg,26025.7012,1232,14784,-10158.9512,1082.75,-10917.25,-11534.9512,-293.25,-12293.25
New Brunswick,354.00,238.00,NB,Fredericton,Biological Sciences - Ecology,Department of Biology,MSc,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,2.00,23069.5,13500,23069.5,NA,2 units,,29/04/2024,2024/24,1.00,1.50,3.00,0.00,22606.00,"Fredericton, NB",25901.9548,NA,NA,-12401.9548,NA,NA,-19390.5548,NA,NA
New Brunswick,354.00,238.00,NB,Fredericton,Biological Sciences - Ecology,Department of Biology,PhD,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,4.00,23069.5,13500,23069.5,NA,2 units,,29/04/2024,2024/25,1.00,1.50,3.00,0.00,22606.00,"Fredericton, NB",25901.9548,NA,NA,-12401.9548,NA,NA,-19390.5548,NA,NA
New Brunswick,354.00,238.00,NB,Fredericton,Physics,Department of Physics,MSc,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,2.00,16000,6430.5,16000,NA,,,28/03/2024,NA,1.00,1.50,3.00,0.00,22606.00,"Fredericton, NB",25901.9548,NA,NA,-19471.4548,NA,NA,-26460.0548,NA,NA
New Brunswick,354.00,238.00,NB,Fredericton,Physics,Department of Physics,PhD,8001,1568.5,9569.5,14325,2233.1,16558.1,,Yes,4.00,17000,7430.5,17000,NA,,,28/03/2024,NA,1.00,1.50,3.00,0.00,22606.00,"Fredericton, NB",25901.9548,NA,NA,-18471.4548,NA,NA,-25460.0548,NA,NA
Memorial,661.00,159.00,NL,St. John's,Biological Sciences - Ecology,Department of Biology,MSc,2859,1907.31,4766.31,4833,2168.9,7001.9,,Yes,2.00,17500,12733.69,17500,10498.1,,,05/06/2024,2023/2024,1.00,1.00,1.00,1.00,21477.00,"St. Johns, NL ",24608.3466,NA,NA,-11874.6566,NA,NA,-14110.2466,NA,NA
Memorial,661.00,159.00,NL,St. John's,Biological Sciences - Ecology,Department of Biology,PhD,2664,1907.31,4571.31,4497,2168.9,6665.9,,Yes,4.00,19000,14428.69,19000,12334.1,,,05/06/2024,2023/2024,1.00,1.00,1.00,1.00,21477.00,"St. Johns, NL ",24608.3466,NA,NA,-10179.6566,NA,NA,-12274.2466,NA,NA
Memorial,661.00,159.00,NL,St. John's,Physics,Physics and Physical Oceanography,MSc,2859,1907.31,4766.31,4833,2168.9,7001.9,,Yes,2.00,20466,15699.69,20866,13864.1,?,,28/03/2024,2023/2024,1.00,1.00,3.00,1.00,21477.00,"St. Johns, NL ",24608.3466,NA,NA,-8908.6566,NA,NA,-10744.2466,NA,NA
Memorial,661.00,159.00,NL,St. John's,Physics,Physics and Physical Oceanography,PhD,2664,1907.31,4571.31,4497,2168.9,6665.9,,Yes,4.00,22066,17494.69,22066,15400.1,?,,28/03/2024,2023/2024,1.00,1.00,3.00,1.00,21477.00,"St. Johns, NL ",24608.3466,NA,NA,-7113.6566,NA,NA,-9208.2466,NA,NA
Dalhousie,825.00,681.00,NS,Halifax,Biological Sciences - Ecology,Department of Biology ,MSc,10651,2101.68,12752.68,18264.8,2857.42,21122.22,,Yes,2.33,33552.68,20800,41166.48,20800,0.00,,17/07/2024,2023/2024,0.00,0.00,0.00,0.00,23264.00,"Halifax, NS",26655.8912,1909,22908,-5855.8912,-2108,-14108,-5855.8912,-2108,-14108
Dalhousie,825.00,681.00,NS,Halifax,Biological Sciences - Ecology,Department of Biology ,PhD,7053,2101.68,9154.68,7053,2857.42,9910.42,,Yes,4.50,29954.68,20800,29954.68,20800,0.00,,17/07/2024,2023/2024,0.00,0.00,0.00,0.00,23264.00,"Halifax, NS",26655.8912,1909,22908,-5855.8912,-2108,-14108,-5855.8912,-2108,-14108
Dalhousie,825.00,681.00,NS,Halifax,Physics,Physics & Atmospheric Science,MSc,10651,2101.68,12752.68,18264.8,2857.42,21122.22,,No,2.00,NA,NA,NA,NA,,,12/04/2024,,0.00,0.00,2.00,0.00,23264.00,"Halifax, NS",26655.8912,1909,22908,NA,NA,NA,NA,NA,NA
Dalhousie,825.00,681.00,NS,Halifax,Physics,Physics & Atmospheric Science,PhD,7053,2101.68,9154.68,7053,2857.42,9910.42,,No,4.00,NA,NA,NA,NA,,,12/04/2024,,0.00,0.00,2.00,0.00,23264.00,"Halifax, NS",26655.8912,1909,22908,NA,NA,NA,NA,NA,NA
Guelph,912.00,445.00,ON,Guelph,Biological Sciences - Ecology,Department of Integrative Biology,MSc,7132.59,2060.8,9193.39,20512.62,2816.8,23329.42,,Yes,2.00,21460,12266.61,21460,-1869.42,140.00,,16/02/2024,2022.00,2.00,1.50,2.00,2.00,22170.00,"Guelph Ont, 135,474 population",25402.386,2036,24432,-13135.776,-12165.39,-24165.39,-27271.806,-26301.42,-38301.42
Guelph,912.00,445.00,ON,Guelph,Biological Sciences - Ecology,Department of Integrative Biology,PhD,6992.07,2060.8,9052.87,19680.81,2816.8,22497.61,,Yes,4.00,25460,16407.13,37960,15462.39,140.00,,16/02/2024,2022.00,2.00,1.50,2.00,2.00,22170.00,"Guelph Ont, 135,474 population",25402.386,2036,24432,-8995.256,-8024.87,-20024.87,-9939.996,-8969.61,-20969.61
Guelph,912.00,445.00,ON,Guelph,Physics,Physics,MSc,7132.59,2060.8,9193.39,20512.62,2816.8,23329.42,,Yes,2.00,28376.92,19183.53,41756.95,18427.53,140.00,,,,1.00,2.00,Obtained by Email,Obtained by Email,22170.00,"Guelph Ont, 135,474 population",25402.386,2036,24432,-6218.856,-5248.47,-17248.47,-6974.856,-6004.47,-18004.47
Guelph,912.00,445.00,ON,Guelph,Physics,Physics,PhD,6992.07,2060.8,9052.87,19680.81,2816.8,22497.61,,Yes,4.00,30601.92,21549.05,43290.66,20793.05,140.00,,,,1.00,2.00,Obtained by Email,Obtained by Email,22170.00,"Guelph Ont, 135,474 population",25402.386,2036,24432,-3853.336,-2882.95,-14882.95,-4609.336,-3638.95,-15638.95
McMaster,1256.00,909.00,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,MSc,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2.00,27339,19941.14,27339,,,,,,1.00,1.00,2.00,1.00,22472.00,Hamilton,25748.4176,1901,22812,-5807.2776,-2870.86,-14870.86,NA,NA,NA
McMaster,1256.00,909.00,ON,Hamilton,Biological Sciences - Ecology,Department of Biology,PhD,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4.00,30327,22929.14,30327,,,,,,1.00,1.00,2.00,1.00,22472.00,Hamilton,25748.4176,1901,22812,-2819.2776,117.14,-11882.86,NA,NA,NA
McMaster,1256.00,909.00,ON,Hamilton,Physics,Physics and Astronomy,MSc,6307.2,1090.66,7397.86,17096.22,1846.66,18942.88,,Yes,2.00,29172.32,21774.46,29172.32,,260 a year,,16/07/2024,,Obtained by Email,Obtained by Email,Obtained by Email,Obtained by Email,22472.00,Hamilton,25748.4176,1901,22812,-3973.9576,-1037.54,-13037.54,NA,NA,NA
McMaster,1256.00,909.00,ON,Hamilton,Physics,Physics and Astronomy,PhD,6307.2,1090.66,7397.86,6307.2,1846.66,8153.86,,Yes,4.00,29172.32,21774.46,29172.32,21018.46,260 a year,,16/07/2024,,Obtained by Email,Obtained by Email,Obtained by Email,Obtained by Email,22472.00,Hamilton,25748.4176,1901,22812,-3973.9576,-1037.54,-13037.54,-4729.9576,-1793.54,-13793.54
Queen's,1110.00,1448.00,ON,Kingston,Biological Sciences - Ecology,Biology Department,MSc,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2.00,24300,17044.21,24300,NA,,,,2022-2023,1.00,1.50,2.00,2.00,22170.00,"Kingston, Ont 136685 pop",25402.386,1767,21204,-8358.176,-4159.79,-16159.79,-16268.636,-12070.25,-24070.25
Queen's,1110.00,1448.00,ON,Kingston,Biological Sciences - Ecology,Biology Department,PhD,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4.00,26300,19044.21,26300,NA,,,,2022-2023,1.00,1.50,2.00,2.00,22170.00,"Kingston, Ont 136685 pop",25402.386,1767,21204,-6358.176,-2159.79,-14159.79,-7114.176,-2915.79,-14915.79
Queen's,1110.00,1448.00,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",MSc,5772.99,1482.8,7255.79,12927.45,2238.8,15166.25,,Yes,2.00,26642,19386.21,26642,NA,,,,,1.00,1.50,3.00,2.00,22170.00,"Kingston, Ont 136685 pop",25402.386,1767,21204,-6016.176,-1817.79,-13817.79,-13926.636,-9728.25,-21728.25
Queen's,1110.00,1448.00,ON,Kingston,Physics,"Physics, Engineering Physics & Astronomy",PhD,5772.99,1482.8,7255.79,5772.99,2238.8,8011.79,,Yes,4.00,27842,20586.21,27842,NA,,,,,1.00,1.50,3.00,2.00,22170.00,"Kingston, Ont 136685 pop",25402.386,1767,21204,-4816.176,-617.79,-12617.79,-5572.176,-1373.79,-13373.79
Western,1323.00,1142.00,ON,London,Biological Sciences - Ecology,Department of Biology ,MSc,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2.00,26091.46,17818.44,37921.46,15588.51,280.00,,05/06/2024,45017.00,1.00,1.50,1.00,3.00,22170.00,London Ont 404699,25402.386,1800,21600,-7583.946,-3781.56,-15781.56,-9813.876,-6011.49,-18011.49
Western,1323.00,1142.00,ON,London,Biological Sciences - Ecology,Department of Biology ,PhD,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4.00,26091.46,17818.44,26091.46,17149.52,280.00,,05/06/2024,45017.00,1.00,1.50,1.00,3.00,22170.00,London Ont 404700,25402.386,1800,21600,-7583.946,-3781.56,-15781.56,-8252.866,-4450.48,-16450.48
Western,1323.00,1142.00,ON,London,Physics,Physics and Astronomy,MSc,6360,1913.02,8273.02,19751.01,2581.94,22332.95,,Yes,2.00,18741,10467.98,18741,NA,,,12/04/2024,,1.00,1.50,3.00,3.00,22170.00,London Ont 404701,25402.386,1800,21600,-14934.406,-11132.02,-23132.02,-28994.336,-25191.95,-37191.95
Western,1323.00,1142.00,ON,London,Physics,Physics and Astronomy,PhD,6360,1913.02,8273.02,6360,2581.94,8941.94,,Yes,4.00,18741,10467.98,18741,NA,,,12/04/2024,,1.00,1.50,3.00,3.00,22170.00,London Ont 404702,25402.386,1800,21600,-14934.406,-11132.02,-23132.02,-15603.326,-11800.94,-23800.94
Ottawa,1379.00,334.00,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2.00,22672,13367.01,22672,NA,65-90.5,,01/03/2024,2023-20234,0.00,0.00,1.00,0.00,24408.00,Ottawa,27966.6864,2058,24696,-14599.6764,-11328.99,-23328.99,-37148.2164,-33877.53,-45877.53
Ottawa,1379.00,334.00,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,4.00,22672,14370.54,22672,NA,65-90.5,,01/03/2024,2023-20234,0.00,0.00,1.00,0.00,24408.00,Ottawa,27966.6864,2058,24696,-13596.1464,-10325.46,-22325.46,-16463.0964,-13192.41,-25192.41
Ottawa,1379.00,334.00,ON,Ottawa,Physics,Department of Physics,MSc,7370.13,1934.86,9304.99,29162.67,2690.86,31853.53,,Yes,2.00,22876,13571.01,22876,-8977.53,,,01/03/2024,2023-20234,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,24408.00,Ottawa,27966.6864,2058,24696,-14395.6764,-11124.99,-23124.99,-36944.2164,-33673.53,-45673.53
Ottawa,1379.00,334.00,ON,Ottawa,Physics,Department of Physics,PhD,6366.6,1934.86,8301.46,17477.55,2690.86,20168.41,"3,000 / term",Yes,5.00,25676,17374.54,25676,14507.59,,,01/03/2024,2023-20234,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,Information obtained from internal financial form,24408.00,Ottawa,27966.6864,2058,24696,-10592.1464,-7321.46,-19321.46,-13459.0964,-10188.41,-22188.41
Acadia,114.00,120.00,NS,Wolfville,Biological Sciences - Ecology,Biology,MSc,6363.5,735,7098.5,14750.52,1279,16029.52,,Yes,2.00,20000,12901.5,20000,NA,,,04/03/2024,2024-2024,1.00,1.50,Obtained by Email,Obtained by Email,21868.00,"Wolfville, NS 4195 population (!) Small population Center",25056.3544,NA,NA,-12154.8544,NA,NA,-21085.8744,NA,NA
Acadia,114.00,120.00,NS,Wolfville,Biological Sciences - Ecology,Biology,PhD,10847,1095,11942,24620,1639,26259,,Yes,2.00,20000,8058,20000,NA,,,04/03/2024,2024-2024,1.00,1.50,Obtained by Email,Obtained by Email,21868.00,"Wolfville, NS 4195 population (!) Small population Center",25056.3544,NA,NA,-16998.3544,NA,NA,-31315.3544,NA,NA
Saint Mary's,179.00,54.00,NS,Halifax,Physics,Astronomy and Physics,MSc,6591,1713,8304,14596,2748,17344,,NA,NA,NA,NA,NA,NA,,,,,1.00,2.00,0.00,0.00,23264.00,Halifax,26655.8912,1909,22908,NA,NA,NA,NA,NA,NA
Saint Mary's,179.00,54.00,NS,Halifax,Physics,Astronomy and Physics,PhD,5909,1713,7622,10955,2748,13703,,NA,NA,NA,NA,NA,NA,,,,,1.00,2.00,0.00,0.00,23264.00,Halifax,26655.8912,1909,22908,NA,NA,NA,NA,NA,NA
Ontario Tech University,231.00,26.00,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,MSc,7579.3,2223.18,9802.48,20124.3,2979.18,23103.48,,Yes,,16000,6197.52,16000,,,,,,0.00,1.50,1.00,0.00,22170.00,Oshawa Ont 170071 pop,25402.386,1860,22320,-19204.866,-16122.48,-28122.48,-32505.866,-29423.48,-41423.48
Ontario Tech University,231.00,26.00,ON,Oshawa,Physics,Physics     Material Science is joint with Trent University - See Trent,PhD,7579.3,2223.18,9802.48,19166,2979.18,22145.18,,Yes,,18000,8197.52,18000,,,,,,0.00,1.50,1.00,0.00,22170.00,Oshawa Ont 170071 pop,25402.386,1860,22320,-17204.866,-14122.48,-26122.48,-29547.566,-26465.18,-38465.18
Carleton,740.00,361.00,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,MSc,7842,2043.42,9885.42,25902,2799.42,28701.42,,NA,NA,NA,NA,NA,NA,10 if on a Full Teaching Assistantship,yes,13/02/2024,45017.00,1.00,1.50,1.00,0.00,24408.00,"Ottawa, On",27966.6864,2058,24696,NA,NA,NA,NA,NA,NA
Carleton,740.00,361.00,ON,Ottawa,Biological Sciences - Ecology,Department of Biology,PhD,7428,2043.42,9471.42,19590,2799.42,22389.42,,NA,NA,NA,NA,NA,NA,10 if on a Full Teaching Assistantship,yes,13/02/2024,45017.00,1.00,1.50,1.00,0.00,24408.00,"Ottawa, On",27966.6864,2058,24696,NA,NA,NA,NA,NA,NA
