University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2024) ,Net International - Rent/year,Net International - Rent - $1K,Total Expenses,Operating Grant,Endowment
York,ON,Toronto,NSERC,Physics,Science,Physics and Astronomy,MSc,https://www.yorku.ca/science/physics/,phasgpd@yorku.ca,"their grad email is dead, this is for Prof. Johnson, grad program director",FALSE,TRUE,1435.51,297.12,1732.63,,,6275,1053.12,7328.12,,No,,,,,,,,,,2024-04-18,,,,,,Included the UHIP in the ancillary fees cost,https://sfs.yorku.ca/fees/courses/2024/summer/graduate-studies/masters,https://www.yorku.ca/gradstudies/physics-astronomy/wp-content/uploads/sites/383/2023/08/Graduate-Handbook-2023-2024.pdf,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1296,399,567
York,ON,Toronto,,Physics,,,PhD,,,,FALSE,TRUE,1435.51,717.75,2153.26,,,6000,1053.12,7053.12,,No,,,,,,,,,,2024-04-18,,,,,,,,https://www.yorku.ca/gradstudies/physics-astronomy/wp-content/uploads/sites/383/2023/08/Graduate-Handbook-2023-2024.pdf,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1296,399,567
Carleton,ON,Ottawa,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://carleton.ca/biology/guidelines/,JenniferL.Harris@carleton.ca,Graduate Administrator,TRUE,FALSE,,,6719.62,7315.32,,,,19013.62,,,,,,,,,,10 if on a Full Teaching Assistantship,yes,2024-02-13,23-Apr,1,1.5,1,0,Posted tuition amounts include ancillary fees. General to graduate admissions,https://carleton.ca/studentaccounts/tuition-fees/,,24408,28886.7,1994,23928,"Ottawa, Ont",-28886.7,-23928,-35928,-28886.7,-23928,-35928,740,176,361
Carleton,ON,Ottawa,,Biological Sciences - Ecology,,,PhD,https://carleton.ca/biology/guidelines/,biology@carleton.ca,Graduate Administrator,TRUE,FALSE,,,6443.62,6443.62,,,,15307.62,,,,,,,,,,10 if on a Full Teaching Assistantship,yes,2024-02-13,23-Apr,1,1.5,1,0,Posted tuition amounts include ancillary fees,https://carleton.ca/studentaccounts/tuition-fees/,,24408,28886.7,1994,23928,,-28886.7,-23928,-35928,-28886.7,-23928,-35928,740,176,361
Lethbridge,AB,Lethbridge,,Biological Sciences - Ecology,,,PhD,,,,TRUE,FALSE,6129.36,2415.17,8544.53,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,23640,27977.77,,,,-27977.77,,,-27977.77,,,209,108,95
Lethbridge,AB,Lethbridge,NSERC,Biological Sciences - Ecology,Science,,MSc,,,,TRUE,FALSE,6270.33,2415.17,8685.5,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,23640,27977.77,,,"located in Lethbridge, Alberta. population 106550. Large population center",-27977.77,,,-27977.77,,,209,108,95
Lethbridge,AB,Lethbridge,,Physics,,,PhD,https://www.ulethbridge.ca/artsci/physics-astronomy,,,TRUE,FALSE,6129.36,2415.17,8544.53,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,23640,27977.77,,,,-27977.77,,,-27977.77,,,209,108,95
Lethbridge,AB,Lethbridge,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://www.ulethbridge.ca/artsci/physics-astronomy,,,TRUE,FALSE,6270.33,2415.17,8685.5,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,"AF: The request for info predates me taking over the physics data. I agree, I can't find the info without aid from somebody at UL, but don't want to request email a second time if they recieved a response with ""No""",,,23640,27977.77,,,,-27977.77,,,-27977.77,,,209,108,95
Saskatchewan,SK,Saskatoon,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://artsandscience.usask.ca/biology/,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23513,27827.47,1258,15096,Saskatoon,-27827.47,-15096,-27096,-27827.47,-15096,-27096,1122,464,475
Saskatchewan,SK,Saskatoon,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23513,27827.47,1258,15096,,-27827.47,-15096,-27096,-27827.47,-15096,-27096,1122,464,475
Dalhousie,NS,Halifax,NSERC,Biological Sciences - Ecology,Science,NEEDS ENTRY,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23264,27532.78,1925,23100,"Halifax, NS",-27532.78,-23100,-35100,-27532.78,-23100,-35100,825,229,681
Dalhousie,NS,Halifax,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23264,27532.78,1925,23100,,-27532.78,-23100,-35100,-27532.78,-23100,-35100,825,229,681
Dalhousie,NS,Halifax,,Physics,,,PhD,,,,FALSE,FALSE,7053,2127.99,9180.99,,,7053,2868.73,9921.73,,No,,,,,,,,,,2024-04-12,,0,0,2,0,"For Dalhousie there is a ""Departmental funding would normally be provided for two years to an MSc student
and four years to a PhD student."", but because it's just - normally- there's no minimum. Sourced from graduate handbook",https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/PhD%202024-2025.pdf?_gl=1*c4mk7s*_ga*MjMwMzg4MDIxLjE3MTI5NTQ5NjM.*_ga_H7TPVP0V0F*MTcxMjk1NTE4OS4xLjAuMTcxMjk1NTE5My4wLjAuMA..,https://cdn.dal.ca/content/dam/dalhousie/pdf/academics/Graduate%20programs/Medical%20Physics/Grad%20Student%20Handbook-2020-2021.pdf,23264,27532.78,1925,23100,,-27532.78,-23100,-35100,-27532.78,-23100,-35100,825,229,681
Dalhousie,NS,Halifax,NSERC,Physics,Science,Physics & Atmospheric Science,MSc,https://www.dal.ca/faculty/science/physics/programs/GraduateStudents.html,,,FALSE,FALSE,10864,2127.99,12991.99,,,18630,2868.73,21498.73,,No,,,,,,,,,,2024-04-12,,0,0,2,0,The tuition tables are horribly complictated (and maybe even misslabeled?) ,https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/Grad%202024-2025.pdf?_gl=1*z066q9*_ga*MjMwMzg4MDIxLjE3MTI5NTQ5NjM.*_ga_H7TPVP0V0F*MTcxMjk1NTE4OS4xLjAuMTcxMjk1NTE4OS4wLjAuMA..,https://cdn.dal.ca/content/dam/dalhousie/pdf/academics/Graduate%20programs/Medical%20Physics/Grad%20Student%20Handbook-2020-2021.pdf,23264,27532.78,1925,23100,,-27532.78,-23100,-35100,-27532.78,-23100,-35100,825,229,681
Saint Mary's,NS,Halifax,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,DOES NOT HAVE MSc PROGRAM,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23264,27532.78,1925,23100,halifax,-27532.78,-50632.78,-33307.78,,-23100,,179,66,54
Saint Mary's,NS,Halifax,,Biological Sciences - Ecology,,,PhD,DOES NOT HAVE PhD PROGRAM,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23264,27532.78,1925,23100,,-27532.78,-50632.78,-33307.78,,-23100,,179,66,54
Saint Mary's,NS,Halifax,,Physics,,,PhD,https://www.smu.ca/astronomy-physics/index.html,,,TRUE,FALSE,5909,1713,7622,,,10955,2748,13703,,,,,,,,,,,,,,1,2,,,,https://www.smu.ca/academics/graduate-tuition-fees.html,,23264,27532.78,1925,23100,,-27532.78,-23100,-35100,-27532.78,-23100,-35100,179,66,54
Saint Mary's,NS,Halifax,NSERC,Physics,Science,Astronomy and Physics,MSc,https://www.smu.ca/astronomy-physics/index.html,,,TRUE,FALSE,6591,1713,8304,,,14596,2748,17344,,,,,,,,,,,,,,1,2,,,,https://www.smu.ca/academics/graduate-tuition-fees.html,,23264,27532.78,1925,23100,,-27532.78,-23100,-35100,-27532.78,-23100,-35100,179,66,54
Regina,SK,Regina,NSERC,Biological Sciences - Ecology,Science,Biology,MSc,https://www.uregina.ca/science/biology/index.html,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23094,27331.59,1259,15108,,-27331.59,-15108,-27108,-27331.59,-15108,-27108,326,121,60
Regina,SK,Regina,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,23094,27331.59,1259,15108,,-27331.59,-15108,-27108,-27331.59,-15108,-27108,326,121,60
Regina,SK,Regina,NSERC,Physics,Science,Physics,MSc,https://www.uregina.ca/science/physics/,Aram.Teymurazyan@uregina.ca',,TRUE,FALSE,4916.25,776.25,5692.5,,,4916.25,4779.75,9696,,Yes,,,,,,,,,,2024-05-06,,0,1,,,"Used 2023 fall, 2024 winter, 2024 spring/summer fees. Also used 5 credit hours for MSc, which is the mean number of credits/semester needed to finish in 4 years",https://www.uregina.ca/fs/students/fee-schedule.html,https://www.uregina.ca/science/physics/financial/graduate-finances.html,23094,27331.59,1259,15108,,-27331.59,-15108,-27108,-27331.59,-15108,-27108,326,121,60
Regina,SK,Regina,,Physics,,,PhD,,,,TRUE,FALSE,6374.25,1011.25,7385.5,,,6374.25,5014.75,11389,,Yes,,,,,,,,,,2024-05-06,,0,1,,,"NOTE FOR CALCULATION: International increase is hidden in the fees, not tuition as is typical",,,23094,27331.59,1259,15108,,-27331.59,-15108,-27108,-27331.59,-15108,-27108,326,121,60
Manitoba,MB,Winnipeg,NSERC,Biological Sciences - Ecology,Science,Department of Biological Sciences,MSc,https://umanitoba.ca/explore/programs-of-study/biological-sciences-msc,biograd@umanitoba.ca,Program inquiries,TRUE,FALSE,8860.32,1673.37,10533.69,,,19492.86,3049.37,22542.23,,,,,,,,,,,,2024-04-29,,,,,,,,,22714,26881.86,1416,16992,Winnipeg,-26881.86,-16992,-28992,-26881.86,-16992,-28992,959,424,936
Manitoba,MB,Winnipeg,,Biological Sciences - Ecology,,,PhD,https://umanitoba.ca/explore/programs-of-study/biological-sciences-phd,biograd@umanitoba.ca,Program inquiries,TRUE,FALSE,8860.32,1673.37,10533.69,,,8860.32,3049.37,11909.69,,,,,,,,,,,,2024-04-29,,,,,,,,,22714,26881.86,1416,16992,,-26881.86,-16992,-28992,-26881.86,-16992,-28992,959,424,936
University of Winnipeg,MB,Winnipeg,NSERC,Biological Sciences - Ecology,Science,Biology,MSc,https://www.uwinnipeg.ca/biology/graduate/our-program.html,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22714,26881.86,1416,16992,,-26881.86,-16992,-28992,-26881.86,-16992,-28992,172,75,86
University of Winnipeg,MB,Winnipeg,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22714,26881.86,1416,16992,,-26881.86,-16992,-28992,-26881.86,-16992,-28992,172,75,86
McMaster,ON,Hamilton,NSERC,Physics,Science,Physics and Astronomy,MSc,https://physics.mcmaster.ca/,,,TRUE,FALSE,2102.4,1090.66,3193.06,,,5698.74,1090.66,6789.4,,yes,,,,,,,,,,,,,,,,,,,22472,26595.45,1806,21672,,-26595.45,-21672,-33672,-26595.45,-21672,-33672,1256,284,909
McMaster,ON,Hamilton,,Physics,,,PhD,https://physics.mcmaster.ca/,,,TRUE,FALSE,2102.4,1090.66,3193.06,,,2102.4,1090.66,3193.06,,yes,,,,,,,,,,,,,,,,,,,22472,26595.45,1806,21672,,-26595.45,-21672,-33672,-26595.45,-21672,-33672,1256,284,909
Thompson Rivers,BC,Kelowna,NSERC,Biological Sciences - Ecology,Science,Department of Biological Sciences,MSc,https://www.tru.ca/science/programs/msces.html,hmcintyre@tru.ca,"Heather McIntyre, Program Asistant (incl. MSc Environmental Science)",TRUE,FALSE,7125,503.82,20697.66,,,20193.84,503.82,20697.66,,,,,,,,,,,,2024-04-29,,2,1.5,,,"AW: Ancillary fees itemized, good for transparency but no total value given so difficult to sum. I calculated fees on the assumption of them being charged for 2 semesters per year. No sitpend data visible on website. ",https://www.tru.ca/science/programs/msces/tuition.html,,22255,26338.64,,,"located in Kamloops, BC 90,280 pop. Medium population center",-26338.64,,,-26338.64,,,247,94,14
Thompson Rivers,BC,Kelowna,,Biological Sciences - Ecology,,,PhD,No Graduate Program,,,TRUE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,No program ,,,22255,26338.64,,,,-26338.64,,,-26338.64,,,247,94,14
UNBC,BC,Prince George,,Biological Sciences - Ecology,,,PhD,https://www2.unbc.ca/nres-graduate-program,fe.grad@unbc.ca,NRES Grad team,TRUE,FALSE,0,681.93,681.93,,,,,0,,,,,,,,,,,,,,,,,,AW: PhD candidates receive an automatic four year tuition grant; so I put $0 for PhD tuition. This information is stated on this page: https://www2.unbc.ca/nres-graduate-program,,,22255,26338.64,,,,-26338.64,,,-26338.64,,,132,66,72
UNBC,BC,Prince George,NSERC,Biological Sciences - Ecology,Science,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",MSc,https://www2.unbc.ca/nres-graduate-program,fe.grad@unbc.ca,NRES Grad team,TRUE,FALSE,5460.42,681.93,6142.35,,,7644.6,871.93,8516.53,,,,,,,,,,,,2024-04-29,,1,1,,,"AW: This is the first institution I've seen have a statement on an awards ceiling: ""Currently the Graduate award ceiling is $15,000 per academic year (this does not include external awards)."" No minimum stipend appears to exist for these programs. Fees are itemized, like Thompson Rivers. Good for transparency, difficult to sum. ""All graduate student fees are mandatory and cannot be waived.""",https://www2.unbc.ca/finance/accounts-receivable/fees-unbc#domestic-graduate,,22255,26338.64,,,"Prince George BC 74,003 population Medium population Center",-26338.64,,,-26338.64,,,132,66,72
UNBC,BC,Prince George,NSERC,Physics,Science,Department of Physics,MSc,https://www2.unbc.ca/physics,,,TRUE,FALSE,5460.42,2841.87,8302.29,,,7644.6,2841.87,10486.47,,,,,,,,,,,,2024-03-28,,0,1,0,0,"AF: Had to email to get info. No info on graduate program on dept website, had to go to Univ. website (nightmare) to get data",https://www2.unbc.ca/sites/default/files/sections/finance/accounts-receivable/studentfees-grad_13.pdft,,22255,26338.64,,,,-26338.64,,,-26338.64,,,132,66,72
UPEI,PEI,Charlottetown,NSERC,Biological Sciences - Ecology,Science,,MSc,,"(Closest grad program was Human Biology, too close to medical)",,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22253,26336.27,,,Charlottetown,-26336.27,-26336.27,-26336.27,,,,176,71,60
UPEI,PEI,Charlottetown,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22253,26336.27,,,,-26336.27,-26336.27,-26336.27,,,,176,71,60
Brock,ON,St. Catharines,NSERC,Physics,Science,Physics Department,MSc,https://www.physics.brocku.ca/,,,FALSE,FALSE,2725.41,1099.79,3825.2,,,7475.34,1873.59,9348.93,,No,,,,,,,,,,2024-04-18,,0,1,1,0,"""The Master of Science in Materials Physics International Student Program is an unfunded program.
Graduate students in the Faculty of Math and Science may be eligible for a variety of scholarships,
fellowships, and awards administered by Brock University and external agencies""",https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://www.physics.brocku.ca/Programs/MSMP_Handbook.pdf,22170,26238.04,1680,20160,,-26238.04,-20160,-32160,-26238.04,-20160,-32160,385,98,122
Brock,ON,St. Catharines,,Physics,,,PhD,,,,FALSE,FALSE,2725.41,1099.79,3825.2,,,7475.34,1873.59,9348.93,,No,,,,,,,,,,2024-04-18,,0,1,1,0,"""Many graduate students require financial assistance to pursue their studies. Graduate students in the
Faculty of Math and Science are eligible for a variety of scholarships, fellowships, and awards
administered by Brock University and the Ontario and Canadian Governments (e.g. NSERC, OGS, etc.) A
listing of these awards can be obtained by consulting the section on Financial Assistance in the Graduate
Studies Calendar""",https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://www.physics.brocku.ca/Programs/PHD_Handbook.pd,22170,26238.04,1680,20160,,-26238.04,-20160,-32160,-26238.04,-20160,-32160,385,98,122
Laurentian,ON,Sudbury,NSERC,Biological Sciences - Ecology,Science,Biology,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,,,"sudbury ont 164926 pop, large urban population center",-26238.04,,,-26238.04,,,145,92,48
Laurentian,ON,Sudbury,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,,,,-26238.04,,,-26238.04,,,145,92,48
Ontario Tech University,ON,Oshawa,NSERC,Biological Sciences - Ecology,Science,Biological Science,MSc,NO GRADUATE PROGRAM,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1884,22608,Oshawa Ont 170071 pop,-26238.04,-22608,-34608,-26238.04,-22608,-34608,231,95,26
Ontario Tech University,ON,Oshawa,,Biological Sciences - Ecology,,,PhD,NO GRADUATE PROGRAM,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1884,22608,,-26238.04,-22608,-34608,-26238.04,-22608,-34608,231,95,26
Ontario Tech University,ON,Oshawa,NSERC,Physics,Science,Physics     Material Science is joint with Trent University - See Trent,MSc,https://science.ontariotechu.ca/physics/index.php,,,TRUE,FALSE,7579.3,2223.18,9802.48,,,22313.12,2979.18,25292.3,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1884,22608,,-26238.04,-22608,-34608,-26238.04,-22608,-34608,231,95,26
Ontario Tech University,ON,Oshawa,,Physics,,,PhD,https://science.ontariotechu.ca/physics/index.php,,,TRUE,FALSE,7579.3,2223.18,9802.48,,,19166,2979.18,22145.18,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1884,22608,,-26238.04,-22608,-34608,-26238.04,-22608,-34608,231,95,26
Windsor,ON,Windsor,NSERC,Biological Sciences - Ecology,Science,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1421,17052,"Windsor, Ont 233763 population large population",-26238.04,-17052,-29052,-26238.04,-17052,-29052,427,140,140
Windsor,ON,Windsor,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,22170,26238.04,1421,17052,,-26238.04,-17052,-29052,-26238.04,-17052,-29052,427,140,140
Windsor,ON,Windsor,NSERC,Physics,Science,Department of Physics,MSc,https://www.uwindsor.ca/science/physics/,,,FALSE,FALSE,7179.3,1597.08,8776.38,7538.25,,24165,2337.24,26502.24,,No,,,,,,,,,,,2024-04-18,,,,,They have only 'typical student stipends are' with no minimums noted.,,https://www.uwindsor.ca/science/physics/sites/uwindsor.ca.science.physics/files/2019-2020_physics_graduate_handbook_without_funding_packages.pdf,22170,26238.04,1421,17052,,-26238.04,-17052,-29052,-26238.04,-17052,-29052,427,140,140
