University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - MBM Threshold - Rent/year,Net domestic - MBM Threshold - Rent/year w/ 3 roommates (split 4 ways),Total Expenses,Operating Grant,Endowment
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary,AB,Calgary,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-msc-thesis,sci.grad@ucalgary.ca,Graduate Program Administrator,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,29719.88,1733,20796,,-29719.88,-50515.88,-34918.88,1509,601,1176
,,,,,,,PhD,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-phd ,sci.grad@ucalgary.ca,Graduate Program Administrator,TRUE,FALSE,3603.96,1997.42,5601.38,,,8404.53,,8404.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,,,1733,20796,,-29719.88,-50515.88,-34918.88,1509,601,1176
,,,NSERC,Physics,Science,Physics and Astronomy,MSc,,,,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,,,1733,20796,,-29719.88,-50515.88,-34918.88,1509,601,1176
,,,,,,,PhD,,sci.grad@ucalgary.ca,,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,,,1733,20796,,-29719.88,-50515.88,-34918.88,1509,601,1176
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,Biochemistry & Molecular Biology,MSc,https://cumming.ucalgary.ca/departments/bmb/graduate-studies,Graduate Program Adminstrator: bmbgrad@ucalgary.ca,,FALSE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,Yes,,25000,19398.62,26000,17592.47,,,,,,2023-24,0,1.5,3,1,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,https://cumming.ucalgary.ca/departments/bmb/graduate-studies,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,3603.96,1997.42,5601.38,,,8404.53,,8404.53,,Yes,,27000,21399,28000,19595,,,,,,2023-24,0,1.5,3,1,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,AB,Edmonton,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://www.ualberta.ca/biological-sciences/graduate-studies/index.html,"Schelly Scott, Bio Grad Finances: biogradf@ualberta.ca",,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,2.3,25197,17767.11,,13093.91,,,Half of students suppported by TAing,,45351,,1,2,3,0,Governed by collective agreement,https://www.ualberta.ca/graduate-studies/prospective-students/tuition-and-cost-of-living-estimate.html,https://www.ualberta.ca/biological-sciences/graduate-studies/for-applicants/program-funding.html,24862,29424,1367,16404,located in Edmonton,-11656.89,-28060.89,-15757.89,1878,756,1728
,,,,,,,PhD,,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,5,25917,18487.11,,13813.91,,,,,45351,,1,2,3,0,,,,,,1367,16404,,-10936.89,-27340.89,-15037.89,1878,756,1728
,,,NSERC,Physics,Science,Physics and Geophysics,MSc,https://www.ualberta.ca/physics/graduate-studies/index.html,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,2,29010,21580,,16907,,,12hr/week,,45351,,1,2,3,1,,,https://www.ualberta.ca/physics/graduate-studies/awards-and-funding/financial-support-for-new-msc-students.html,,,1367,16404,,-7843.89,-24247.89,-11944.89,1878,756,1728
,,,,,,,PhD,,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,45387,30720,23290,,18617,,,12hr/week,,45351,,1,2,3,1,,,https://www.ualberta.ca/physics/graduate-studies/awards-and-funding/financial-support-for-new-phd-students.html,,,1367,16404,,-6133.89,-22537.89,-10234.89,1878,756,1728
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge,AB,Lethbridge,NSERC,Biological Sciences - Ecology,Science,,MSc,,,,TRUE,FALSE,6270.33,2415.17,8685.5,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,23640,27977.77,,,"located in Lethbridge, Alberta. population 106550. Large population center",-27977.77,-27977.77,-27977.77,209,108,95
,,,,,,,PhD,,,,TRUE,FALSE,6129.36,2415.17,8544.53,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,,,,,,-27977.77,-27977.77,-27977.77,,,
,,,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://www.ulethbridge.ca/artsci/physics-astronomy,,,TRUE,FALSE,6270.33,2415.17,8685.5,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,"AF: The request for info predates me taking over the physics data. I agree, I can't find the info without aid from somebody at UL, but don't want to request email a second time if they recieved a response with ""No""",,,,,,,,-27977.77,-27977.77,-27977.77,,,
,,,,,,,PhD,https://www.ulethbridge.ca/artsci/physics-astronomy,,,TRUE,FALSE,6129.36,2415.17,8544.53,,,14208.24,2415.17,16623.41,,,,,,,,,,,,,,,,,,,,,,,,,,-27977.77,-27977.77,-27977.77,,,
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thompson Rivers,BC,Kelowna,NSERC,Biological Sciences - Ecology,Science,Department of Biological Sciences,MSc,https://www.tru.ca/science/programs/msces.html,hmcintyre@tru.ca,"Heather McIntyre, Program Asistant (incl. MSc Environmental Science)",TRUE,FALSE,7125,503.82,20697.66,,,20193.84,503.82,20697.66,,,,,,,,,,,,45411,,2,1.5,,,"AW: Ancillary fees itemized, good for transparency but no total value given so difficult to sum. I calculated fees on the assumption of them being charged for 2 semesters per year. No sitpend data visible on website. ",https://www.tru.ca/science/programs/msces/tuition.html,,22255,26338.64,,,"located in Kamloops, BC 90,280 pop. Medium population center",-26338.64,-26338.64,-26338.64,247,94,14
,,,,,,,PhD,No Graduate Program,,,TRUE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,No program ,,,,,,,,-26338.64,-26338.64,-26338.64,247,94,14
,,,NSERC,Physics,Science,Physical Science,MSc,No Graduate Program,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,45379,,,,,,AF: No program,,,,,,,,-26338.64,-26338.64,-26338.64,247,94,14
,,,,,,,PhD,No Graduate Program,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-26338.64,-26338.64,-26338.64,247,94,14
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNBC,BC,Prince George,NSERC,Biological Sciences - Ecology,Science,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",MSc,https://www2.unbc.ca/nres-graduate-program,fe.grad@unbc.ca,NRES Grad team,TRUE,FALSE,5460.42,681.93,6142.35,,,7644.6,871.93,8516.53,,,,,,,,,,,,45411,,1,1,,,"AW: This is the first institution I've seen have a statement on an awards ceiling: ""Currently the Graduate award ceiling is $15,000 per academic year (this does not include external awards)."" No minimum stipend appears to exist for these programs. Fees are itemized, like Thompson Rivers. Good for transparency, difficult to sum. ""All graduate student fees are mandatory and cannot be waived.""",https://www2.unbc.ca/finance/accounts-receivable/fees-unbc#domestic-graduate,,22255,26338.64,,,"Prince George BC 74,003 population Medium population Center",-26338.64,-26338.64,-26338.64,132,66,72
,,,,,,,PhD,https://www2.unbc.ca/nres-graduate-program,fe.grad@unbc.ca,NRES Grad team,TRUE,FALSE,0,681.93,681.93,,,,,0,,,,,,,,,,,,,,,,,,AW: PhD candidates receive an automatic four year tuition grant; so I put $0 for PhD tuition. This information is stated on this page: https://www2.unbc.ca/nres-graduate-program,,,,,,,,-26338.64,-26338.64,-26338.64,132,66,72
,,,NSERC,Physics,Science,Department of Physics,MSc,https://www2.unbc.ca/physics,,,TRUE,FALSE,5460.42,2841.87,8302.29,,,7644.6,2841.87,10486.47,,,,,,,,,,,,45379,,0,1,0,0,"AF: Had to email to get info. No info on graduate program on dept website, had to go to Univ. website (nightmare) to get data",https://www2.unbc.ca/sites/default/files/sections/finance/accounts-receivable/studentfees-grad_13.pdft,,,,,,,-26338.64,-26338.64,-26338.64,132,66,72
,,,,,,,PhD,No program,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,https://www2.unbc.ca/finance/accounts-receivable/fees-unbc#domestic-graduate,,,,,,,-26338.64,-26338.64,-26338.64,132,66,72
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBC,BC,Vancouver,NSERC,Biological Sciences - Ecology,Science,"Potentially across several departments including Botany, Zoology, Forestry, Biodiversity Research Centre. Using grad programs in Zoology here. ",MSc,https://zoology.ubc.ca/graduate-program,mimi.yu@ubc.ca,"Mimi Yu, Graduate Program Manager",TRUE,FALSE,5515.71,1313.7,6829.41,,,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23170.59,30000,28686.3,,,,,45411,2023/2024,,,3,,AW: Ancillary fees itemized but on separate pages depnding if they are approved by UBC Board of Governors or Student Societ https://vancouver.calendar.ubc.ca/fees/student-fees ,,TAing requirements depends on funding arrangement with supervisor,25285,29924.62,2671,32052,Vancouver,-6754.03,-38806.03,-14767.03,3281,1447,2800
,,,,,,,PhD,https://zoology.ubc.ca/graduate-program,mimi.yu@ubc.ca,"Mimi Yu, Graduate Program Manager",TRUE,FALSE,5515.71,1313.7,6829.41,,,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23170.59,30000,28686.3,,,,,45411,2023/2024,,,3,,AW: Ancillary fees itemized but on separate pages depnding if they are approved by UBC Board of Governors or Student Societ https://vancouver.calendar.ubc.ca/fees/student-fees ,,TAing requirements depends on funding arrangement with supervisor,,,2671,32052,,-6754.03,-38806.03,-14767.03,3281,1447,2800
,,,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://phas.ubc.ca/,Dr. Alison Lister,gradadvr@phas.ubc.ca,FALSE,FALSE,5301,1202,6503,,,9313.92,1202,10515.92,3200,Yes,2,28278,21775,28278,20962,,,288,,45379,2023/2024,2,2,3,3,AF: I'm going to mail this website to our graduate supervisor as an example of a great solution to the confusion we frequently see. This is how it should be done.,https://phas.ubc.ca/graduate-program-financial-support,https://phas.ubc.ca/graduate-program-financial-support,,,2671,32052,,-8149.62,-40201.62,-16162.62,3281,1447,2800
,,,,,,,PhD,,,,FALSE,FALSE,5301,1202,6503,,,9313.92,1202,10515.92,3200,Yes,4,33878,27375,33878,26562,,,288,,45379,2023/2024,2,2,3,3,,,,,,,,,-2549.62,,,3281,1447,2800
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,BC,Victoria,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://www.uvic.ca/science/biology/graduate/program/index.php,biology@uvic.ca,Jennie Bartosik,TRUE,FALSE,6403.62,1356.88,7760.5,,,8076.9,1356.88,9433.78,,Yes,2,22000,14239.5,22000,12566.22,,,,,45411,2023/2024,0,1,3,2,"AW: No guaranteed minimum, but UVic Fellowships are valued at $17,500 per year (MSc) and $20,000 per year (PhD)",,"The 2024-5 tuition years are posted on the website at the time of data collection. I emailed the program to request 2023-4 stipend data (22k per year). The stipend will be raised to 26,000 this coming academic year. ",22255 OR 24482,26338.64 OR 28974.28,2168,26016,"Technically, victoria only has 92,141 pop, making it a medium population center. However, Saanich is directly to the north, and is talking about merging (along with all the other cities here). I'm going to make this have 2 categories, but we should talk about that. data to the right considered just the lower of the two numbers",-12099.14,-38115.14,-18603.14,691,216,523
,,,,,,,PhD,https://www.uvic.ca/science/biology/graduate/program/index.php,biology@uvic.ca,Jennie Bartosik,TRUE,FALSE,6403.62,1356.88,7760.5,,,8076.9,1356.88,9433.78,,Yes,4,22000,14239.5,22000,12566.22,,,,,45411,2023/2024,0,1,3,2,"AW: No guaranteed minimum, but UVic Fellowships are valued at $17,500 per year (MSc) and $20,000 per year (PhD)",,"The 2024-5 tuition years are posted on the website at the time of data collection. I emailed the program to request 2023-4 stipend data (22k per year). The stipend will be raised to 26,000 this coming academic year. ",,,2168,26016,,-12099.14,-38115.14,-18603.14,691,216,523
,,,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://www.uvic.ca/science/physics/,Pavel Kovtun,pkovtun@uvic.ca,FALSE,FALSE,6405,1372.48,7777.48,,,8076,1372.48,9448.48,,Yes,2*,24967,17190,24967,15519,,,100,,45379,2023/2024,0,0.5,1,2,"The guaranteed support levels will be in effect for 2 years for a student in an MSc program, up to 5 years beyond the BSc level for a student in a PhD transfer program, 3 years for a student in a PhD program, and 4 years for a PhD student who arrives at UVic with an MSc from another university. There is no Graduate Award beyond these time limits. Arrangements for RA contributions after the time limits are between the student and supervisor.",,,,,2168,26016,,-9149.12,-35165.12,-15653.12,691,216,523
,,,,,,,PhD,,,,FALSE,FALSE,6405,1372.48,7777.48,,,8076,1372.48,9448.48,,Yes,4*,26867,19090,26867,17419,,,100,,45379,2023/2024,0,0.5,1,2,"It's a really good break down, but takes a while to find it! I had to find the grad handbook, which then took me back to the dept website. Might be because i was on a tablet, but still!",,,,,2168,26016,,-7249.12,-33265.12,-13753.12,691,216,523
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NSERC,Engineering - Civil,Engineering,,MEng,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,MB,Winnipeg,NSERC,Biological Sciences - Ecology,Science,Department of Biological Sciences,MSc,https://umanitoba.ca/explore/programs-of-study/biological-sciences-msc,biograd@umanitoba.ca,Program inquiries,TRUE,FALSE,8860.32,1673.37,10533.69,,,19492.86,3049.37,22542.23,,,,,,,,,,,,45411,,,,,,,,,22714,26881.86,1416,16992,Winnipeg,-26881.86,-43873.86,-31129.86,959,424,936
